date,Sentiment_NLTK,Sentiment_TB,neg,neu,pos,compound,Subjectivity,Polarity
2024-01-19 08,Negative,Negative,0.061,0.939,0.0,-0.296,0.39166666666666666,-0.075
2024-01-19 07,Neutral,Neutral,0.0,1.0,0.0,0.0,1.0,0.0
2024-01-19 06,Positive,Positive,0.032,0.82225,0.146,0.3954,0.6611607142857143,0.11964285714285713
2024-01-19 05,Negative,Negative,0.045,0.955,0.0,-0.1027,0.47500000000000003,-0.041666666666666664
2024-01-19 04,Positive,Positive,0.0,0.836,0.164,0.6249,0.375,0.03125
2024-01-19 03,Positive,Positive,0.0,0.841,0.159,0.6705,0.6065476190476191,0.30357142857142855
2024-01-19 02,Positive,Positive,0.0,0.945,0.055,0.2023,0.44375,0.06875
2024-01-19 01,Negative,Neutral,0.139,0.861,0.0,-0.5719,0.0,0.0
2024-01-19 00,Positive,Neutral,0.0,0.941,0.059,0.1779,0.0,0.0
2024-01-18 23,Positive,Positive,0.0,0.833,0.167,0.7003,0.26666666666666666,0.16666666666666666
2024-01-18 22,Negative,Positive,0.068,0.884,0.048,-0.2023,0.31111111111111106,0.18333333333333335
2024-01-18 21,Neutral,Negative,0.056,0.8915,0.0525,-0.0386,0.3675,-0.028333333333333332
2024-01-18 20,Positive,Neutral,0.0,0.841,0.159,0.6705,0.08333333333333333,0.0
2024-01-18 19,Positive,Positive,0.0,0.848,0.152,0.4939,0.3522727272727273,0.19318181818181818
2024-01-18 18,Positive,Negative,0.0,0.9625,0.0375,0.1806,0.43125,-0.016666666666666663
2024-01-18 17,Positive,Positive,0.0,0.809,0.191,0.5994,0.6931818181818182,0.17045454545454544
2024-01-18 16,Positive,Positive,0.0,0.919,0.081,0.4404,0.3119047619047619,0.09523809523809523
2024-01-18 15,Positive,Positive,0.03966666666666666,0.8866666666666667,0.07366666666666667,0.12686666666666666,0.3888888888888889,0.225
2024-01-18 14,Negative,Neutral,0.168,0.765,0.067,-0.4767,0.43333333333333335,0.0
2024-01-18 13,Positive,Neutral,0.068,0.765,0.167,0.5423,0.25,0.0
2024-01-18 12,Positive,Positive,0.0,0.8685,0.1315,0.56955,0.5573863636363636,0.10909090909090909
2024-01-18 11,Positive,Neutral,0.043,0.786,0.171,0.6908,0.0,0.0
2024-01-18 10,Neutral,Neutral,0.0,1.0,0.0,0.0,0.03333333333333333,0.0
2024-01-18 09,Positive,Negative,0.0,0.923,0.077,0.3818,0.4,-0.2
2024-01-18 08,Negative,Negative,0.0422,0.829,0.1288,0.28738,0.3197222222222222,-0.018888888888888893
2024-01-18 07,Negative,Positive,0.059,0.887,0.054,-0.0516,0.2,0.040625
2024-01-18 06,Negative,Positive,0.104,0.797,0.099,0.2023,0.21666666666666665,0.05000000000000001
2024-01-18 01,Positive,Positive,0.0,0.856,0.144,0.4939,0.575,0.3
2024-01-18 00,Positive,Positive,0.033,0.9126666666666666,0.055,0.025733333333333334,0.4537037037037037,0.12777777777777777
2024-01-17 23,Neutral,Positive,0.067,0.866,0.067,0.0,0.26999999999999996,0.08
2024-01-17 22,Positive,Neutral,0.063,0.779,0.158,0.5859,0.0,0.0
2024-01-17 21,Neutral,Positive,0.0,0.9430000000000001,0.057,0.2294,0.6326515151515151,0.07871212121212122
2024-01-17 20,Negative,Positive,0.027,0.929,0.044,0.1252,0.30173160173160174,0.08647186147186146
2024-01-17 19,Positive,Positive,0.0,0.8865000000000001,0.1135,0.42755,0.28724747474747475,0.14589646464646464
2024-01-17 18,Neutral,Positive,0.0,1.0,0.0,0.0,0.44375,0.2625
2024-01-17 17,Positive,Positive,0.0,0.914,0.086,0.4767,0.3125,0.25
2024-01-17 15,Neutral,Positive,0.0,1.0,0.0,0.0,0.06666666666666667,0.03333333333333333
2024-01-17 14,Positive,Positive,0.0,0.8965,0.1035,0.4364,0.6875,0.37187499999999996
2024-01-17 13,Neutral,Negative,0.0,0.9485,0.051500000000000004,0.23479999999999998,0.31656249999999997,-0.0791193181818182
2024-01-17 12,Neutral,Positive,0.0,0.913,0.087,0.3454,0.5604166666666667,0.340625
2024-01-17 11,Positive,Positive,0.0,0.922,0.078,0.4215,0.2333333333333333,0.08750000000000001
2024-01-17 10,Positive,Positive,0.0,0.795,0.205,0.7579,0.5499999999999999,0.25
2024-01-17 09,Positive,Positive,0.0,0.867,0.133,0.4588,0.7272727272727273,0.06818181818181818
2024-01-17 08,Positive,Positive,0.0215,0.85725,0.12125,0.48214999999999997,0.6630681818181818,0.007670454545454543
2024-01-17 07,Neutral,Positive,0.0,1.0,0.0,0.0,0.11785714285714287,0.04642857142857143
2024-01-17 06,Negative,Positive,0.098,0.851,0.052,-0.2003,0.23541666666666666,0.09375
2024-01-17 05,Positive,Positive,0.0,0.925,0.075,0.4404,0.3791666666666667,0.12499999999999999
2024-01-17 02,Positive,Positive,0.0,0.9484999999999999,0.051500000000000004,0.15250000000000002,0.41937499999999994,0.074375
2024-01-17 01,Positive,Positive,0.0,0.849,0.151,0.6705,0.25,0.25
2024-01-16 23,Positive,Positive,0.0,0.9615,0.0385,0.1909,0.34444444444444444,0.18055555555555555
2024-01-16 21,Positive,Positive,0.0,0.8285,0.1715,0.6678999999999999,0.6761363636363636,0.28409090909090906
2024-01-16 20,Positive,Positive,0.022333333333333334,0.8649999999999999,0.11266666666666668,0.3443333333333333,0.3125,0.11458333333333333
2024-01-16 19,Positive,Positive,0.0,0.8523333333333333,0.14766666666666664,0.5564,0.36742424242424243,0.14772727272727273
2024-01-16 18,Positive,Positive,0.0,0.943,0.057,0.2023,0.5083333333333333,0.15833333333333333
2024-01-16 17,Positive,Positive,0.0,0.922,0.078,0.4215,0.29166666666666663,0.08333333333333333
2024-01-16 16,Positive,Positive,0.047,0.8105,0.14250000000000002,0.431,0.39515151515151514,0.20371212121212123
2024-01-16 14,Negative,Positive,0.099,0.901,0.0,-0.49000000000000005,0.23392857142857143,0.03392857142857142
2024-01-16 13,Neutral,Positive,0.01075,0.94625,0.043,0.201225,0.4943046536796537,0.14406520562770564
2024-01-16 12,Positive,Positive,0.0,0.89525,0.10475,0.47057499999999997,0.5833333333333334,0.19374999999999998
2024-01-16 11,Negative,Negative,0.024666666666666667,0.9403333333333332,0.034999999999999996,0.010733333333333336,0.3831746031746031,-0.002222222222222218
2024-01-16 10,Positive,Positive,0.0,0.885,0.115,0.5209,0.125,0.016666666666666663
2024-01-16 09,Positive,Positive,0.0,0.8979999999999999,0.102,0.3934,0.3925,0.1
2024-01-16 07,Neutral,Positive,0.042666666666666665,0.867,0.09033333333333333,0.10960000000000003,0.3277777777777778,0.1388888888888889
2024-01-16 06,Positive,Negative,0.0,0.8534999999999999,0.1465,0.6545000000000001,0.4625,-0.037500000000000006
2024-01-16 05,Positive,Positive,0.0415,0.8205,0.138,0.3797,0.2791666666666667,0.0875
2024-01-16 03,Positive,Negative,0.069,0.813,0.117,0.1531,0.7583333333333333,-0.17500000000000002
2024-01-16 01,Positive,Positive,0.0,0.945,0.055,0.2023,0.44375,0.06875
2024-01-16 00,Neutral,Neutral,0.0,1.0,0.0,0.0,1.0,0.0
2024-01-15 20,Positive,Positive,0.064,0.804,0.131,0.3612,0.625,0.35416666666666663
2024-01-15 18,Positive,Positive,0.0,0.901,0.099,0.401625,0.4085858585858586,0.2140151515151515
2024-01-15 17,Negative,Positive,0.046,0.8554999999999999,0.0985,0.11975,0.48750000000000004,0.2375
2024-01-15 16,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-15 15,Negative,Positive,0.0385,0.8805000000000001,0.081,0.15175000000000002,0.33333333333333337,0.125
2024-01-15 14,Negative,Positive,0.029,0.93225,0.03875,0.054474999999999996,0.3693452380952381,0.11636904761904762
2024-01-15 13,Neutral,Positive,0.0,0.9295,0.07050000000000001,0.24515,0.5664583333333333,0.1403125
2024-01-15 12,Positive,Positive,0.0,0.878,0.122,0.4232,0.17020202020202022,0.10606060606060606
2024-01-15 11,Negative,Negative,0.264,0.7030000000000001,0.033,-0.7974,0.35,-0.05
2024-01-15 09,Positive,Positive,0.0,0.936,0.064,0.2263,0.4166666666666667,0.2
2024-01-15 08,Positive,Positive,0.0,0.87,0.13,0.5411,0.3958333333333333,0.28125
2024-01-15 07,Positive,Positive,0.0,0.919,0.081,0.4404,0.25,0.020833333333333332
2024-01-15 06,Neutral,Positive,0.0,0.8875,0.1125,0.3701,0.5958333333333333,0.12916666666666665
2024-01-15 05,Neutral,Positive,0.064,0.872,0.064,0.0,0.19999999999999998,0.125
2024-01-14 23,Positive,Positive,0.0,0.96,0.04,0.1027,0.65,0.024999999999999994
2024-01-14 21,Negative,Positive,0.157,0.759,0.084,-0.4404,1.0,0.35
2024-01-14 19,Positive,Positive,0.0,0.9355,0.0645,0.26025,0.5958333333333333,0.28750000000000003
2024-01-14 18,Positive,Positive,0.0,0.848,0.152,0.4939,0.3522727272727273,0.19318181818181818
2024-01-14 17,Positive,Negative,0.018,0.924,0.0585,0.2064,0.42500000000000004,-0.07500000000000001
2024-01-14 15,Positive,Positive,0.0,0.8216666666666667,0.17833333333333334,0.7178666666666667,0.4833333333333334,0.31666666666666665
2024-01-14 14,Positive,Positive,0.020666666666666667,0.7939999999999999,0.18533333333333335,0.5749666666666667,0.43722222222222223,0.27666666666666667
2024-01-14 13,Neutral,Positive,0.0,0.9225,0.0775,0.33525,0.5808333333333333,0.33999999999999997
2024-01-14 11,Positive,Positive,0.0305,0.8365,0.133,0.29810000000000003,0.6261742424242425,0.1431439393939394
2024-01-14 09,Positive,Positive,0.065,0.812,0.123,0.2658,0.45,0.11666666666666665
2024-01-14 08,Neutral,Neutral,0.0,1.0,0.0,0.0,0.0,0.0
2024-01-14 03,Positive,Positive,0.0,0.932,0.068,0.296,0.36,0.10916666666666668
2024-01-13 21,Positive,Positive,0.029,0.9279999999999999,0.043,0.125,0.21250000000000002,0.0625
